epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6334.08,0.94172,3.07869,1.96088,0.65294,0.52145,0.58018,0.32578,0.95731,2.30347,1.969,0.0242058,0.0080686,0.0242058,0.0080686,0.0242058,0.0080686,0.0242058,0.0080686
31,6541.57,0.94573,3.04483,1.97696,0.67482,0.51965,0.60514,0.3481,0.92669,2.21459,1.92353,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002
32,6749.08,0.94084,2.99425,1.96925,0.68091,0.53666,0.61148,0.35488,0.92648,2.1795,1.93326,0.0238062,0.0079354,0.0238062,0.0079354,0.0238062,0.0079354,0.0238062,0.0079354
33,6956.9,0.93474,3.02424,1.96928,0.68043,0.52911,0.6078,0.35073,0.93409,2.19728,1.94265,0.0236064,0.0078688,0.0236064,0.0078688,0.0236064,0.0078688,0.0236064,0.0078688
34,7164.28,0.94303,3.04688,1.97298,0.69563,0.53922,0.6221,0.36434,0.91802,2.1474,1.9201,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
35,7371.94,0.93942,2.99141,1.96404,0.68863,0.53553,0.61681,0.3588,0.92508,2.15689,1.91721,0.0232068,0.0077356,0.0232068,0.0077356,0.0232068,0.0077356,0.0232068,0.0077356
36,7579.63,0.9399,3.01194,1.96094,0.70519,0.55212,0.62878,0.37196,0.90837,2.12336,1.8922,0.023007,0.007669,0.023007,0.007669,0.023007,0.007669,0.023007,0.007669
37,7787.44,0.93753,2.98722,1.95936,0.71588,0.55278,0.6369,0.37604,0.91334,2.0952,1.89575,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024
38,7994.83,0.92522,2.93106,1.93988,0.68882,0.55326,0.63219,0.37699,0.9047,2.09935,1.88755,0.0226074,0.0075358,0.0226074,0.0075358,0.0226074,0.0075358,0.0226074,0.0075358
39,8202.8,0.92887,2.94086,1.93673,0.70483,0.55119,0.63921,0.37872,0.90492,2.09291,1.88121,0.0224076,0.0074692,0.0224076,0.0074692,0.0224076,0.0074692,0.0224076,0.0074692
40,8409.92,0.93001,2.96968,1.94003,0.72293,0.55718,0.64522,0.38499,0.89903,2.05448,1.87789,0.0222078,0.0074026,0.0222078,0.0074026,0.0222078,0.0074026,0.0222078,0.0074026
41,8617.23,0.93011,2.95474,1.93724,0.73232,0.55639,0.64493,0.38953,0.89562,2.02861,1.86725,0.022008,0.007336,0.022008,0.007336,0.022008,0.007336,0.022008,0.007336
42,8825.05,0.92122,2.93916,1.94233,0.71799,0.56344,0.64602,0.39194,0.88713,2.02995,1.8628,0.0218082,0.0072694,0.0218082,0.0072694,0.0218082,0.0072694,0.0218082,0.0072694
43,9032.72,0.92179,2.86905,1.94016,0.73534,0.56993,0.65783,0.39879,0.88937,2.02897,1.87237,0.0216084,0.0072028,0.0216084,0.0072028,0.0216084,0.0072028,0.0216084,0.0072028
44,9240.19,0.91905,2.92039,1.93478,0.72335,0.5664,0.6514,0.39924,0.87814,2.01742,1.84914,0.0214086,0.0071362,0.0214086,0.0071362,0.0214086,0.0071362,0.0214086,0.0071362
45,9448.02,0.91978,2.89081,1.9317,0.74395,0.56746,0.65698,0.40131,0.87845,2.00096,1.84746,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
46,9655.48,0.91366,2.88025,1.92042,0.74448,0.56635,0.65882,0.40281,0.87388,1.98025,1.83643,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003
