epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
118,24591.3,0.7943,2.16764,1.75513,0.83922,0.64789,0.74018,0.50771,0.75438,1.56147,1.67875,0.0066234,0.0022078,0.0066234,0.0022078,0.0066234,0.0022078,0.0066234,0.0022078
119,24798.7,0.80392,2.18841,1.76732,0.84484,0.6467,0.74048,0.50867,0.75321,1.5592,1.67714,0.0064236,0.0021412,0.0064236,0.0021412,0.0064236,0.0021412,0.0064236,0.0021412
120,25006,0.79226,2.16059,1.75894,0.84805,0.64534,0.74092,0.50999,0.75191,1.5563,1.67555,0.0062238,0.0020746,0.0062238,0.0020746,0.0062238,0.0020746,0.0062238,0.0020746
121,25213.1,0.79916,2.19294,1.76242,0.8483,0.64673,0.7418,0.51081,0.75067,1.55274,1.67371,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008
122,25420,0.79024,2.15294,1.75293,0.84616,0.6493,0.74219,0.51136,0.74988,1.54989,1.67303,0.0058242,0.0019414,0.0058242,0.0019414,0.0058242,0.0019414,0.0058242,0.0019414
123,25627.4,0.79048,2.12213,1.74571,0.84656,0.65114,0.74274,0.51259,0.74862,1.54713,1.67131,0.0056244,0.0018748,0.0056244,0.0018748,0.0056244,0.0018748,0.0056244,0.0018748
124,25835.4,0.78216,2.11737,1.74647,0.84333,0.65225,0.74219,0.51256,0.74739,1.54347,1.67003,0.0054246,0.0018082,0.0054246,0.0018082,0.0054246,0.0018082,0.0054246,0.0018082
125,26042.7,0.78503,2.12211,1.7311,0.84465,0.65241,0.74288,0.51419,0.74667,1.54145,1.66882,0.0052248,0.0017416,0.0052248,0.0017416,0.0052248,0.0017416,0.0052248,0.0017416
126,26249.6,0.77172,2.08878,1.72439,0.84768,0.65103,0.74292,0.51496,0.74565,1.53872,1.66777,0.005025,0.001675,0.005025,0.001675,0.005025,0.001675,0.005025,0.001675
127,26456.7,0.77864,2.10619,1.7334,0.85041,0.65078,0.74383,0.51613,0.74441,1.53436,1.66617,0.0048252,0.0016084,0.0048252,0.0016084,0.0048252,0.0016084,0.0048252,0.0016084
128,26664.5,0.77918,2.08583,1.73327,0.85188,0.65192,0.74437,0.51683,0.7435,1.53153,1.66476,0.0046254,0.0015418,0.0046254,0.0015418,0.0046254,0.0015418,0.0046254,0.0015418
129,26872,0.78493,2.09928,1.73869,0.85365,0.65198,0.7456,0.51778,0.74258,1.52853,1.66402,0.0044256,0.0014752,0.0044256,0.0014752,0.0044256,0.0014752,0.0044256,0.0014752
130,27079.4,0.77481,2.10218,1.73561,0.85421,0.65287,0.74613,0.51875,0.74109,1.52591,1.66198,0.0042258,0.0014086,0.0042258,0.0014086,0.0042258,0.0014086,0.0042258,0.0014086
131,27286.8,0.77631,2.09717,1.73497,0.85548,0.65073,0.7458,0.5195,0.74012,1.52316,1.66058,0.004026,0.001342,0.004026,0.001342,0.004026,0.001342,0.004026,0.001342
132,27494.1,0.77343,2.07951,1.73315,0.8565,0.65232,0.74666,0.5205,0.73925,1.52016,1.65921,0.0038262,0.0012754,0.0038262,0.0012754,0.0038262,0.0012754,0.0038262,0.0012754
133,27701.2,0.77144,2.07185,1.72734,0.86087,0.65132,0.74741,0.52108,0.73838,1.51755,1.65772,0.0036264,0.0012088,0.0036264,0.0012088,0.0036264,0.0012088,0.0036264,0.0012088
134,27908.4,0.77323,2.06392,1.7215,0.86167,0.6519,0.74743,0.52151,0.73735,1.51479,1.65631,0.0034266,0.0011422,0.0034266,0.0011422,0.0034266,0.0011422,0.0034266,0.0011422
135,28116,0.77383,2.07282,1.73077,0.86335,0.65168,0.74762,0.52213,0.73647,1.51201,1.65514,0.0032268,0.0010756,0.0032268,0.0010756,0.0032268,0.0010756,0.0032268,0.0010756
136,28323.2,0.77269,2.05903,1.73072,0.86343,0.65155,0.74817,0.52267,0.73587,1.50923,1.65422,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009
137,28530.7,0.76337,2.03635,1.71817,0.86487,0.65199,0.74839,0.52315,0.7352,1.5075,1.65339,0.0028272,0.0009424,0.0028272,0.0009424,0.0028272,0.0009424,0.0028272,0.0009424
138,28739.6,0.76532,2.03883,1.71904,0.866,0.65231,0.74835,0.52374,0.73461,1.50655,1.65265,0.0026274,0.0008758,0.0026274,0.0008758,0.0026274,0.0008758,0.0026274,0.0008758
139,28947.1,0.7562,2.0257,1.69731,0.86504,0.65379,0.74908,0.52479,0.73394,1.50437,1.65192,0.0024276,0.0008092,0.0024276,0.0008092,0.0024276,0.0008092,0.0024276,0.0008092
140,29154.3,0.76174,2.05936,1.71128,0.86269,0.65543,0.74915,0.52523,0.73319,1.50281,1.65073,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
141,29373.6,0.63886,1.33504,1.55403,0.86531,0.65411,0.74943,0.52622,0.73251,1.5008,1.64954,0.002028,0.000676,0.002028,0.000676,0.002028,0.000676,0.002028,0.000676
142,29578.1,0.6397,1.30575,1.5692,0.86681,0.65312,0.74952,0.52693,0.73166,1.4981,1.64859,0.0018282,0.0006094,0.0018282,0.0006094,0.0018282,0.0006094,0.0018282,0.0006094
143,29782.3,0.63859,1.3064,1.5701,0.86403,0.65605,0.75006,0.528,0.7311,1.496,1.64745,0.0016284,0.0005428,0.0016284,0.0005428,0.0016284,0.0005428,0.0016284,0.0005428
144,29986.6,0.63373,1.28692,1.55209,0.86488,0.6556,0.75083,0.52875,0.73027,1.49451,1.64643,0.0014286,0.0004762,0.0014286,0.0004762,0.0014286,0.0004762,0.0014286,0.0004762
145,30191.1,0.63008,1.28325,1.55137,0.86431,0.65637,0.751,0.52924,0.72944,1.49273,1.64562,0.0012288,0.0004096,0.0012288,0.0004096,0.0012288,0.0004096,0.0012288,0.0004096
146,30395.4,0.62853,1.28671,1.55489,0.86256,0.65709,0.75141,0.52972,0.72847,1.49024,1.64446,0.001029,0.000343,0.001029,0.000343,0.001029,0.000343,0.001029,0.000343
147,30600.1,0.62631,1.28064,1.54029,0.86254,0.65644,0.7517,0.53043,0.72736,1.48861,1.64315,0.0008292,0.0002764,0.0008292,0.0002764,0.0008292,0.0002764,0.0008292,0.0002764
148,30804.7,0.62559,1.26768,1.5507,0.86374,0.65791,0.75216,0.53133,0.72675,1.48484,1.64239,0.0006294,0.0002098,0.0006294,0.0002098,0.0006294,0.0002098,0.0006294,0.0002098
149,31008.9,0.61918,1.26668,1.54462,0.86616,0.65743,0.75255,0.53223,0.72599,1.48224,1.64123,0.0004296,0.0001432,0.0004296,0.0001432,0.0004296,0.0001432,0.0004296,0.0001432
150,31213,0.61591,1.25821,1.52787,0.86714,0.65713,0.75276,0.53323,0.72518,1.48017,1.64009,0.0002298,7.66e-05,0.0002298,7.66e-05,0.0002298,7.66e-05,0.0002298,7.66e-05
